                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.6206,                 1.0114,                 1.4707,                0.91221,                0.89106,                 0.9439,                0.51028,                 1.4974,                0.82791,                  1.383,             0.00054478,             0.00054478,             0.00054478
                     70,                  1.597,                0.97357,                 1.4513,                0.89662,                0.91334,                0.94865,                0.52048,                 1.4809,                0.80977,                 1.3814,             0.00052827,             0.00052827,             0.00052827
                     71,                  1.599,                0.98124,                 1.4377,                0.90223,                0.88426,                 0.9401,                0.51034,                 1.4871,                0.81279,                 1.3896,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.5903,                0.97804,                 1.4441,                0.93253,                0.89671,                0.95312,                0.52942,                 1.4456,                0.79534,                 1.3724,             0.00049527,             0.00049527,             0.00049527
                     73,                  1.574,                0.94576,                 1.4444,                0.90239,                0.90458,                0.95021,                0.51319,                 1.4892,                0.79353,                 1.3902,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.5591,                0.94874,                 1.4202,                0.91724,                 0.8947,                0.95263,                0.51848,                 1.4848,                 0.8016,                 1.3964,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.5877,                0.93993,                 1.4496,                 0.9146,                0.90366,                0.95425,                0.52469,                 1.4756,                0.77738,                 1.3812,             0.00044576,             0.00044576,             0.00044576
                     76,                  1.575,                0.96662,                 1.4478,                 0.9094,                0.91931,                 0.9534,                0.53543,                 1.4417,                0.78709,                 1.3574,             0.00042925,             0.00042925,             0.00042925
                     77,                   1.54,                 0.9384,                 1.3999,                0.92401,                0.90977,                0.95913,                0.53043,                 1.4537,                0.78136,                  1.369,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.5457,                0.90189,                 1.4358,                0.90484,                0.90219,                0.95202,                0.52783,                 1.4561,                0.78902,                 1.3634,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.5698,                0.93353,                 1.4205,                0.92339,                0.89731,                0.95232,                 0.5281,                 1.4555,                0.77781,                 1.3672,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.5599,                0.93283,                   1.43,                0.90546,                0.90942,                0.95428,                0.52703,                 1.4797,                0.76747,                 1.3835,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.5641,                 0.9268,                 1.4236,                0.92368,                0.90195,                0.95285,                0.52871,                 1.4376,                0.76307,                 1.3554,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.5714,                0.96546,                 1.4394,                0.91002,                0.92266,                0.95507,                0.53105,                 1.4305,                0.76063,                 1.3501,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.5546,                0.92382,                 1.4175,                0.90867,                0.90891,                 0.9456,                0.53066,                 1.4291,                0.75596,                 1.3523,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.5426,                0.92439,                 1.4297,                0.91266,                0.91335,                0.95576,                0.54384,                 1.4263,                0.74516,                 1.3491,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.5413,                0.89692,                 1.3871,                0.92596,                0.92194,                0.95783,                0.53721,                 1.4228,                0.74433,                 1.3443,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.5237,                0.90377,                 1.4165,                0.91969,                0.92343,                0.95974,                0.54002,                 1.4201,                0.74565,                 1.3497,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.5382,                0.89961,                 1.4066,                0.92377,                 0.9221,                0.95936,                0.53883,                 1.4307,                0.73129,                 1.3534,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.5325,                0.90149,                 1.4014,                0.92061,                0.93359,                0.96135,                0.55083,                 1.4016,                0.74058,                 1.3339,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.5056,                 0.9133,                 1.4128,                0.90923,                0.92286,                 0.9517,                0.53576,                 1.4223,                0.74523,                  1.347,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.5319,                0.88643,                  1.422,                  0.923,                0.92813,                0.95785,                0.55373,                 1.4011,                0.72955,                 1.3298,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.5137,                0.83333,                 1.4336,                 0.9204,                0.91675,                0.96172,                0.54106,                 1.4253,                0.73214,                 1.3444,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.4982,                0.81988,                 1.4145,                0.91858,                0.93011,                0.96428,                0.55093,                 1.3822,                0.73762,                 1.3187,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.4798,                0.80197,                 1.3819,                0.91862,                0.91986,                 0.9662,                0.55886,                 1.3768,                0.73355,                 1.3184,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.4584,                0.77908,                 1.3718,                0.92798,                 0.9295,                0.97178,                0.56205,                 1.3763,                0.70957,                 1.3144,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.4802,                0.79383,                  1.375,                0.92965,                0.93184,                0.97102,                  0.557,                 1.3853,                0.71788,                 1.3156,             0.00011569,             0.00011569,             0.00011569
                     96,                  1.472,                0.79425,                 1.3811,                0.92225,                0.93611,                0.96943,                0.56373,                 1.3725,                0.70623,                 1.3116,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.4436,                0.77921,                  1.375,                0.93608,                 0.9332,                0.97225,                0.56742,                 1.3619,                  0.707,                 1.3096,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.4454,                0.77405,                 1.3746,                0.92474,                0.94446,                0.97218,                0.56402,                 1.3676,                0.70913,                 1.3128,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.4218,                0.76433,                 1.3525,                0.92278,                0.95096,                0.97296,                0.56793,                 1.3634,                0.70171,                  1.309,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.4525,                0.74903,                 1.3736,                0.92725,                0.94774,                0.97363,                0.57169,                 1.3518,                0.69726,                 1.3021,             3.3173e-05,             3.3173e-05,             3.3173e-05
