                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.3818,                0.70659,                 1.1451,                0.96453,                0.96763,                0.98243,                0.60801,                 1.3006,                0.58907,                  1.114,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.3763,                 0.7026,                 1.1479,                 0.9651,                0.96709,                0.98788,                0.58965,                 1.3323,                0.60442,                 1.1322,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.3429,                0.69301,                 1.1567,                0.96084,                0.97809,                0.98887,                0.59446,                 1.3211,                0.59753,                 1.1313,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.3486,                0.70133,                 1.1214,                0.95854,                0.98458,                0.98937,                0.60224,                 1.2943,                0.58897,                 1.1129,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.3638,                0.69728,                 1.1539,                0.96558,                0.98314,                0.98996,                0.60343,                 1.2951,                0.58808,                 1.1061,             0.00074282,             0.00074282,             0.00074282
                     58,                  1.344,                  0.695,                 1.1327,                0.96329,                0.98082,                0.98868,                0.61173,                 1.2682,                0.56953,                  1.101,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.3516,                0.69228,                 1.1295,                0.95742,                0.98031,                0.98668,                0.61087,                 1.2755,                0.57871,                 1.1047,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.3115,                0.67132,                 1.1289,                0.96578,                0.96954,                0.98759,                0.60309,                 1.2965,                 0.5882,                 1.1069,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.3129,                0.67571,                 1.1215,                0.96477,                0.97799,                 0.9858,                0.62405,                 1.2415,                0.55954,                 1.0839,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.2885,                0.66933,                  1.123,                0.96511,                0.98518,                0.99084,                0.61595,                  1.266,                0.56636,                 1.0976,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.3042,                0.66166,                 1.1252,                0.96855,                0.97216,                0.98787,                0.61569,                 1.2531,                0.57221,                 1.0886,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.2882,                0.66027,                 1.1168,                 0.9722,                0.97554,                  0.988,                0.63492,                  1.216,                0.54974,                 1.0793,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.3137,                0.65903,                 1.1245,                0.95934,                0.98651,                0.98854,                0.61958,                 1.2303,                0.55534,                  1.081,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.3069,                0.66695,                 1.1105,                0.96797,                0.98521,                0.99095,                0.62987,                 1.2165,                0.55342,                 1.0751,             0.00059429,             0.00059429,             0.00059429
                     67,                  1.294,                0.66463,                 1.1309,                0.96643,                0.98413,                0.98931,                0.63171,                 1.2119,                0.54442,                 1.0699,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.2822,                 0.6328,                  1.104,                0.96976,                0.97051,                 0.9876,                0.64486,                 1.2136,                0.54133,                 1.0661,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.2752,                 0.6434,                 1.1089,                0.96793,                0.98398,                0.98658,                0.63577,                 1.2098,                0.54464,                 1.0665,             0.00054478,             0.00054478,             0.00054478
                     70,                  1.256,                0.63683,                 1.0969,                 0.9751,                0.98186,                0.99131,                0.64983,                 1.1781,                0.52977,                 1.0562,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.2601,                0.63222,                 1.0939,                0.97632,                0.98029,                0.99195,                0.64597,                 1.2024,                0.54167,                 1.0687,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.2591,                0.61691,                 1.0959,                0.97544,                0.97603,                0.99183,                0.64594,                 1.1971,                0.52747,                 1.0634,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.2712,                0.62223,                 1.1059,                0.97615,                0.98084,                0.99177,                0.62487,                 1.2426,                0.54787,                 1.0834,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.2249,                0.60228,                  1.085,                0.97727,                0.98249,                0.99163,                0.65935,                 1.1588,                0.51252,                 1.0486,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.2289,                0.59061,                 1.0854,                0.97904,                0.98124,                0.99024,                0.65709,                  1.166,                0.51666,                 1.0522,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.2233,                0.61804,                 1.0967,                0.97931,                0.98382,                0.99077,                0.65476,                 1.1643,                0.51332,                 1.0487,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.1995,                0.60765,                 1.0658,                 0.9757,                0.98306,                0.98956,                0.66501,                 1.1385,                0.50738,                 1.0443,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.2016,                0.58631,                 1.0913,                0.98128,                 0.9845,                0.99203,                0.65671,                 1.1323,                0.50973,                 1.0435,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.2304,                0.59372,                 1.0909,                0.97965,                0.98362,                0.98922,                0.66936,                 1.1252,                0.50212,                 1.0404,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.1998,                0.59232,                 1.0848,                0.98205,                0.98453,                0.99215,                 0.6679,                 1.1314,                0.50319,                 1.0409,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.2091,                0.58432,                 1.0759,                0.97429,                0.98921,                 0.9919,                0.67663,                 1.1155,                0.49271,                 1.0328,             0.00034674,             0.00034674,             0.00034674
                     82,                   1.21,                0.60047,                 1.0871,                0.97896,                0.99138,                0.99234,                0.67859,                  1.104,                0.49019,                 1.0256,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.1757,                0.58651,                  1.073,                0.97618,                0.99407,                0.99272,                 0.6717,                 1.1205,                0.49611,                 1.0316,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.1652,                0.58598,                 1.0765,                0.98261,                0.98458,                0.99279,                0.67684,                 1.1025,                0.49249,                  1.024,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.1903,                0.58167,                 1.0531,                0.98142,                0.97742,                0.98962,                0.68065,                 1.0859,                0.48741,                 1.0184,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.1682,                0.56657,                  1.066,                 0.9785,                0.98154,                0.99196,                0.67668,                 1.1147,                0.48627,                 1.0287,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.1803,                0.56829,                 1.0566,                0.97846,                0.98522,                0.99314,                0.66102,                 1.1658,                0.50726,                 1.0421,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.1629,                 0.5656,                 1.0501,                0.98036,                0.98456,                0.99149,                 0.6814,                 1.0722,                0.48118,                 1.0147,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.1144,                0.55755,                 1.0514,                0.97714,                0.98765,                0.99249,                0.68527,                 1.0785,                0.48229,                  1.014,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.1407,                0.56117,                 1.0602,                0.98097,                0.98803,                0.99249,                0.68879,                 1.0614,                 0.4754,                 1.0093,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.1507,                 0.5245,                 1.0701,                0.97552,                0.98983,                0.99258,                0.68691,                 1.0538,                 0.4765,                 1.0074,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.1225,                0.51257,                 1.0559,                0.98019,                0.99125,                0.99346,                0.69308,                 1.0506,                0.47056,                  1.005,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.1095,                0.50699,                 1.0371,                0.97528,                0.99096,                0.99287,                0.69852,                 1.0373,                0.47121,                 1.0022,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.1205,                0.50646,                  1.051,                0.97897,                0.99239,                0.99329,                0.69817,                 1.0295,                0.46647,                 0.9989,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.1031,                0.50037,                 1.0399,                0.98686,                0.98533,                0.99304,                0.70116,                 1.0232,                0.46152,                0.99348,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.0828,                0.48723,                 1.0242,                0.98406,                0.98803,                 0.9934,                0.69921,                 1.0351,                0.45991,                 0.9973,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.0837,                 0.4894,                 1.0317,                0.98308,                0.98855,                0.99312,                0.70293,                 1.0181,                0.45577,                0.99122,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                  1.081,                0.48392,                 1.0192,                  0.978,                0.99227,                0.99321,                0.70085,                 1.0245,                 0.4599,                0.99367,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.0632,                0.48355,                 1.0183,                0.97819,                0.99234,                 0.9933,                0.70025,                 1.0238,                0.45735,                0.99309,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                  1.071,                0.48199,                 1.0286,                0.97972,                0.99342,                0.99354,                0.70701,                 1.0102,                0.45241,                0.98882,             3.3173e-05,             3.3173e-05,             3.3173e-05
