                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.4573,                  0.747,                 1.1704,                0.95065,                0.93358,                0.95865,                0.57246,                  1.284,                0.61246,                 1.0971,              0.0012819,              0.0012819,              0.0012819
                     72,                 1.3887,                0.71635,                 1.1356,                0.96746,                0.92903,                  0.959,                0.57579,                 1.3093,                0.60389,                 1.1158,              0.0012764,              0.0012764,              0.0012764
                     73,                  1.372,                0.70855,                 1.1372,                0.96513,                 0.9301,                0.96037,                0.57114,                 1.3255,                0.61037,                 1.1045,              0.0012709,              0.0012709,              0.0012709
                     74,                 1.3703,                0.71174,                 1.1347,                0.96417,                0.94077,                0.96271,                 0.5764,                 1.3023,                 0.6013,                 1.1025,              0.0012654,              0.0012654,              0.0012654
                     75,                 1.3925,                0.71333,                 1.1364,                 0.9542,                0.93431,                0.96111,                0.56514,                  1.324,                 0.6095,                 1.1039,              0.0012599,              0.0012599,              0.0012599
                     76,                 1.3616,                0.68377,                 1.1305,                0.95827,                0.93943,                0.95803,                 0.5781,                 1.2772,                0.59634,                 1.0967,              0.0012544,              0.0012544,              0.0012544
                     77,                  1.372,                0.70235,                 1.1131,                 0.9662,                0.92827,                0.95949,                  0.582,                 1.3034,                0.60476,                 1.1001,              0.0012489,              0.0012489,              0.0012489
                     78,                 1.3557,                0.69804,                 1.1227,                0.95309,                0.93797,                0.95643,                0.57748,                 1.2756,                0.58837,                 1.0892,              0.0012434,              0.0012434,              0.0012434
                     79,                 1.3667,                0.69135,                 1.0986,                0.94541,                0.91717,                0.95481,                0.56055,                  1.315,                0.62818,                 1.1101,              0.0012379,              0.0012379,              0.0012379
                     80,                 1.3968,                0.73559,                 1.1595,                 0.9459,                0.93606,                0.95787,                0.56394,                  1.331,                0.61667,                 1.0977,              0.0012324,              0.0012324,              0.0012324
